NPI,Name,City,State,Zip,MAC
1609118439,JASON CROSKREY,SPOKANE VALLEY,WA,99216,Noridian
1457671307,SHALIN SHAH,DECATUR,GA,30030,Palmetto
1457401259,EVA KIM,DENVER,CO,80210,Novitas
1659876696,GREGORY FLINEY,COLORADO SPRINGS,CO,80907,Novitas
1831307594,PARLEY FILLMORE,ALAMOGORDO,NM,88310,Novitas
1831151612,RODNEY REMINGTON,FRESNO,CA,93720,Noridian
1922002872,JASON JONES,SIOUX CITY,IA,51104,WPS
1568465987,THOMAS CLINCH,KEARNEY,NE,68845,WPS
1598022873,ANIL BIRDI,TOMS RIVER,NJ,08755,Novitas
1043538796,CLAUDE BUNDRICK,SHREVEPORT,LA,71106,Novitas
1609807445,LEIV TAKLE,GRIFFIN,GA,30224,Palmetto
1609263532,CHRISTOPHER SPEARMAN,CRANBERRY TOWNSHIP,PA,16066,Novitas
1093915837,ALBERT KHOURI,NEWARK,NJ,07103,Novitas
1164009817,STEVEN SKULA,PHILADELPHIA,PA,19104,Novitas
1700869179,KEVIN SCRIPTURE,RICHMOND,IN,47375,WPS
1972814374,OVETTE VILLAVICENCIO,TUCSON,AZ,85712,Noridian
1366425704,FRANK BUCCI,WILKES BARRE,PA,18702,Novitas
1386838563,JONATHAN GRADY,LAKE JACKSON,TX,77566,Novitas
1912433293,JASON JENSEN,TUCSON,AZ,85741,Noridian
1497119093,KHIN KILGORE,TUCSON,AZ,85710,Noridian
1881072569,NEIL VADHAR,WILMINGTON,DE,19808,Novitas
1689677742,WARREN GOLDBLATT,PORTSMOUTH,NH,03801,NGS
1386762128,NEHAL PATEL,MCALLEN,TX,78503,Novitas
1407957160,JAMES BATTLE,JOHNSON CITY,TN,37604,Palmetto
1205990207,RUSSELL CRAVEY,KERRVILLE,TX,78029,Novitas
1184949687,JUSTIN WILKIN,MARIETTA,GA,30066,Palmetto
1265570840,SHUNAI JIANG,MARIETTA,GA,30060,Palmetto
1982918694,GEOFFREY HILL,CREVE COEUR,MO,63141,WPS
1508851387,DAVID HARDTEN,MINNEAPOLIS,MN,55404,NGS
1265427918,THOMAS SAMUELSON,BLOOMINGTON,MN,55431,NGS
1295823755,DANIEL LEE,TURLOCK,CA,95382,Noridian
1710961917,CHARLES CRANE,SOUTH ORANGE,NJ,07079,Novitas
1841487030,DAVID YOMTOOB,ORANGE,CA,92865,Noridian
1679913305,JAMES LEE,BRYAN,TX,77802,Novitas
1295784916,ERIC BLOM,COLORADO SPRINGS,CO,80907,Novitas
